date,prcp
11/15/2012,0.08
11/16/2012,0.03
11/17/2012,0.01
11/18/2012,0.03
11/19/2012,0
11/20/2012,0
11/21/2012,0
11/22/2012,0
11/23/2012,0
11/24/2012,0.02
11/25/2012,0
11/26/2012,0.06
11/27/2012,0
11/28/2012,0
11/29/2012,0
11/30/2012,0
12/1/2012,0
12/2/2012,0
12/3/2012,0
12/4/2012,0.2
12/5/2012,0.01
12/6/2012,
12/7/2012,
12/8/2012,0
12/9/2012,0
12/10/2012,0
12/11/2012,0
12/12/2012,0
12/13/2012,0.14
12/14/2012,0.09
12/15/2012,0.01
12/16/2012,0.02
12/17/2012,0.02
12/18/2012,0.12
12/19/2012,0
12/20/2012,0.1
12/21/2012,0
12/22/2012,0
12/23/2012,0
12/24/2012,0
12/26/2012,0.03
12/27/2012,0
12/28/2012,0
12/29/2012,0
12/30/2012,0
12/31/2012,0.04
1/1/2013,0.02
1/2/2013,0.13
1/3/2013,0.23
1/4/2013,0.04
1/5/2013,0.03
1/6/2013,0.04
1/7/2013,0.04
1/8/2013,0
1/9/2013,0.09
1/10/2013,
1/11/2013,
1/12/2013,0
1/13/2013,0
1/14/2013,0
1/15/2013,0.4
1/16/2013,0
1/17/2013,0
1/18/2013,0
1/19/2013,0
1/20/2013,0
1/21/2013,0
1/22/2013,0
1/23/2013,0
1/24/2013,0.14
1/25/2013,0.43
1/26/2013,0
1/27/2013,0
1/28/2013,1.13
1/29/2013,0.04
1/30/2013,0
1/31/2013,0
2/1/2013,0
2/2/2013,0
2/3/2013,0
2/4/2013,0
2/5/2013,0
2/6/2013,0.04
2/7/2013,0.04
2/8/2013,0
2/9/2013,0.01
2/10/2013,0
2/11/2013,0
2/12/2013,0
2/13/2013,0
2/14/2013,0
2/15/2013,0
2/16/2013,0
2/17/2013,0
2/18/2013,0
2/19/2013,0.09
2/20/2013,0.09
2/21/2013,0.07
2/22/2013,0.31
2/23/2013,0.15
2/24/2013,0.04
2/25/2013,0
2/26/2013,0.01
2/27/2013,0.03
2/28/2013,0
3/1/2013,0
3/2/2013,0
3/3/2013,0
3/4/2013,0
3/5/2013,0
3/6/2013,0
3/7/2013,0
3/8/2013,0
3/9/2013,0.02
3/10/2013,1.29
3/11/2013,0.8
3/12/2013,0.01
3/13/2013,0
3/14/2013,0
3/15/2013,0
3/16/2013,0
3/17/2013,0
3/18/2013,0
3/19/2013,0
3/20/2013,0
3/21/2013,0
3/22/2013,0
3/23/2013,0.02
3/24/2013,0
3/25/2013,0.32
3/26/2013,0
3/27/2013,0
3/28/2013,0.3
3/29/2013,0.06
3/30/2013,0.01
3/31/2013,0.25
4/1/2013,0
4/2/2013,0
4/3/2013,0
4/4/2013,0
4/5/2013,0
4/6/2013,0.03
4/7/2013,0
4/8/2013,0
4/9/2013,0
4/10/2013,0
4/11/2013,0.01
4/12/2013,0
4/13/2013,0
4/14/2013,0
4/15/2013,0.8
4/16/2013,0.08
4/17/2013,0
4/18/2013,0
4/19/2013,0.01
4/20/2013,0
4/21/2013,0
4/22/2013,0.05
4/23/2013,0.01
4/24/2013,0.55
4/25/2013,0.01
4/26/2013,0
4/27/2013,0
4/28/2013,0
4/29/2013,0
4/30/2013,0
5/1/2013,0
5/2/2013,0
5/3/2013,0
5/4/2013,0.14
5/5/2013,0.12
5/6/2013,0.09
5/7/2013,0
5/8/2013,0
5/9/2013,0
5/10/2013,0
5/11/2013,0
5/12/2013,0
5/13/2013,0
5/14/2013,0
5/15/2013,0
5/16/2013,0
5/17/2013,0
5/18/2013,0.02
5/19/2013,0.04
5/20/2013,0.03
5/21/2013,0
5/22/2013,0
5/23/2013,0
5/24/2013,0
5/25/2013,0
5/26/2013,0
5/27/2013,0
5/28/2013,0.04
5/29/2013,0
5/30/2013,0.03
5/31/2013,0
6/1/2013,0.01
6/2/2013,0
6/3/2013,0
6/4/2013,0
6/5/2013,0
6/6/2013,0
6/7/2013,0
6/8/2013,0
6/9/2013,0
6/10/2013,0
6/11/2013,0
6/12/2013,0
6/13/2013,0
6/14/2013,0.37
6/15/2013,0
6/16/2013,0
6/17/2013,0
6/18/2013,0.01
6/19/2013,0
6/20/2013,0.04
6/21/2013,0.12
6/22/2013,0.04
6/23/2013,0.02
6/24/2013,0.35
6/25/2013,0.03
6/26/2013,0.01
6/27/2013,0
6/28/2013,0
6/29/2013,0.03
6/30/2013,0.01
7/1/2013,0
7/2/2013,0
7/3/2013,0.03
7/4/2013,0
7/5/2013,0
7/6/2013,0
7/7/2013,0
7/8/2013,0
7/9/2013,0
7/10/2013,0
7/11/2013,0.03
7/12/2013,0.01
7/13/2013,0
7/14/2013,0
7/15/2013,0
7/16/2013,0
7/17/2013,0
7/18/2013,0
7/19/2013,0
7/20/2013,0
7/21/2013,0.07
7/22/2013,0
7/23/2013,0
7/24/2013,
7/25/2013,0
7/26/2013,0
7/27/2013,0
7/28/2013,0.02
7/29/2013,0.06
7/30/2013,0.74
7/31/2013,0.01
8/1/2013,0.02
8/2/2013,0
8/3/2013,0
8/4/2013,0
8/5/2013,0
8/6/2013,0
8/7/2013,0
8/8/2013,0
8/9/2013,0
8/10/2013,0.03
8/11/2013,0.05
8/12/2013,0
8/13/2013,0
8/14/2013,0.02
8/15/2013,0
8/16/2013,0.01
8/17/2013,0
8/18/2013,0
8/19/2013,0
8/20/2013,0
8/21/2013,0.25
8/22/2013,0
8/23/2013,0
8/24/2013,0
8/25/2013,0
8/26/2013,0
8/27/2013,0
8/28/2013,0
8/29/2013,0
8/30/2013,0
8/31/2013,0
9/1/2013,0.02
9/2/2013,0
9/3/2013,0
9/4/2013,0
9/5/2013,0
9/6/2013,0
9/7/2013,0.14
9/8/2013,0.01
9/9/2013,0
9/10/2013,0
9/11/2013,0
9/12/2013,0.03
9/13/2013,0.02
9/14/2013,0.14
9/15/2013,0.01
9/16/2013,0
9/17/2013,0.02
9/18/2013,0.14
9/19/2013,0.02
9/20/2013,0
9/21/2013,0.02
9/22/2013,0.02
9/23/2013,0.01
9/24/2013,0.01
9/25/2013,0.25
9/26/2013,0.07
9/27/2013,0
9/28/2013,0
9/29/2013,0.08
9/30/2013,0.02
10/1/2013,0
10/2/2013,0
10/3/2013,0
10/4/2013,0
10/5/2013,0
10/6/2013,0
10/7/2013,0
10/8/2013,0
10/9/2013,0
10/10/2013,0
10/11/2013,0
10/12/2013,0
10/13/2013,0
10/14/2013,0.18
10/15/2013,0.02
10/16/2013,0
10/17/2013,0
10/18/2013,0
10/19/2013,0
10/20/2013,0
10/21/2013,0
10/22/2013,0
10/23/2013,0
10/24/2013,0
10/25/2013,0
10/26/2013,0
10/27/2013,0
10/28/2013,0.01
10/29/2013,0
10/30/2013,0
10/31/2013,0
11/1/2013,0
11/2/2013,0.02
11/3/2013,0
11/4/2013,0.01
11/5/2013,0
11/6/2013,0
11/7/2013,0.02
11/8/2013,0
11/9/2013,0.01
11/10/2013,1.98
11/11/2013,0.2
11/12/2013,0
11/13/2013,0
11/14/2013,0
11/15/2013,0.89
11/16/2013,0
11/17/2013,0
11/18/2013,0
11/19/2013,0
11/20/2013,0
11/21/2013,0
11/22/2013,0
11/23/2013,0
11/24/2013,0
11/25/2013,0
11/26/2013,0
11/27/2013,0
11/28/2013,0
11/29/2013,0
11/30/2013,0.18
12/1/2013,0
12/2/2013,2.01
12/3/2013,0.01
12/4/2013,0
12/5/2013,0
12/6/2013,0
12/7/2013,0
12/8/2013,0
12/9/2013,0
12/10/2013,0.03
12/11/2013,0
12/12/2013,0
12/13/2013,0.02
12/14/2013,0
12/15/2013,0
12/16/2013,1.1
12/17/2013,0.02
12/18/2013,0
12/19/2013,0.16
12/20/2013,0.09
12/21/2013,0.02
12/22/2013,0
12/23/2013,0
12/24/2013,0.05
12/25/2013,0.02
12/26/2013,0
12/27/2013,0
12/28/2013,0
12/29/2013,0
12/30/2013,0
12/31/2013,0
1/1/2014,0
1/2/2014,0
1/3/2014,0.76
1/4/2014,0
1/5/2014,0
1/6/2014,0
1/7/2014,0
1/8/2014,0
1/9/2014,0.03
1/10/2014,
1/11/2014,
1/12/2014,0.35
1/13/2014,0
1/14/2014,0.43
1/15/2014,0.01
1/16/2014,0.25
1/17/2014,0
1/18/2014,0
1/19/2014,0
1/20/2014,0
1/21/2014,0
1/22/2014,0.35
1/23/2014,0
1/24/2014,0
1/25/2014,0
1/26/2014,0
1/27/2014,0.14
1/28/2014,0.02
1/29/2014,0.27
1/30/2014,0.04
1/31/2014,0
2/1/2014,0.22
2/2/2014,0.38
2/3/2014,0
2/4/2014,0.5
2/5/2014,0.23
2/6/2014,0.08
2/7/2014,0.03
2/8/2014,0
2/9/2014,0
2/10/2014,0
2/11/2014,0
2/12/2014,0
2/13/2014,0
2/14/2014,0
2/15/2014,0.01
2/16/2014,0
2/17/2014,0.35
2/18/2014,0.03
2/19/2014,0
2/20/2014,0
